Seed,Clubs,Hearts,Spades,Diamonds,Ace,Two,Three,Four,Five,Six,Seven,Eight,Nine,Ten,Jack,Queen,King,SuitEuclid,SuitEucIgnZero,SuitMedian,SuitMedIgnZero,SuitRange,SuitRngIgnZero,SuitStdDev,SuitSDIgnZero,SuitsPres
0,4,3,6,3,1,0,2,1,2,3,0,0,0,3,2,1,1,2.449489742783178,2.449489742783178,3.5,3.5,3,3,1.224744871391589,1.224744871391589,4
1,4,5,2,5,1,1,1,0,3,0,2,0,2,0,2,1,3,2.449489742783178,2.449489742783178,4.5,4.5,3,3,1.224744871391589,1.224744871391589,4
2,7,1,2,6,0,2,1,2,1,2,0,0,1,0,2,3,2,5.0990195135927845,5.0990195135927845,4.0,4.0,6,6,2.5495097567963922,2.5495097567963922,4
3,3,4,4,5,0,1,0,1,0,1,2,2,2,1,2,3,1,1.4142135623730951,1.4142135623730951,4.0,4.0,2,2,0.7071067811865476,0.7071067811865476,4
4,6,2,4,4,2,1,2,0,2,2,0,1,1,0,1,1,3,2.8284271247461903,2.8284271247461903,4.0,4.0,4,4,1.4142135623730951,1.4142135623730951,4
5,5,3,5,3,2,3,2,3,1,0,0,1,2,0,0,1,1,2.0,2.0,4.0,4.0,2,2,1.0,1.0,4
6,7,6,3,0,1,3,2,0,2,1,1,0,1,1,2,2,0,5.477225575051661,2.943920288775949,4.5,6.0,7,4,2.7386127875258306,1.699673171197595,3
7,2,5,4,5,1,3,1,1,1,1,0,2,2,2,0,2,0,2.449489742783178,2.449489742783178,4.5,4.5,3,3,1.224744871391589,1.224744871391589,4
8,4,3,3,6,1,1,3,2,2,2,0,1,0,1,1,0,2,2.449489742783178,2.449489742783178,3.5,3.5,3,3,1.224744871391589,1.224744871391589,4
9,4,6,2,4,2,2,0,0,1,3,2,3,1,0,1,1,0,2.8284271247461903,2.8284271247461903,4.0,4.0,4,4,1.4142135623730951,1.4142135623730951,4
10,1,4,5,6,1,3,1,1,3,2,0,0,1,0,2,1,1,3.7416573867739413,3.7416573867739413,4.5,4.5,5,5,1.8708286933869707,1.8708286933869707,4
11,4,6,3,3,1,2,3,1,0,1,1,0,1,3,1,0,2,2.449489742783178,2.449489742783178,3.5,3.5,3,3,1.224744871391589,1.224744871391589,4
12,3,5,3,5,1,2,1,1,1,2,2,0,1,1,1,1,2,2.0,2.0,4.0,4.0,2,2,1.0,1.0,4
13,5,4,2,5,0,2,0,3,1,0,3,1,0,0,1,3,2,2.449489742783178,2.449489742783178,4.5,4.5,3,3,1.224744871391589,1.224744871391589,4
